Institución,2014,2015,2016,2017,2018
Ministerio de Salud,412,680,851,1066,198
Instituto Salvadoreño de Rehabilitación Integral,0,698,776,875,212
Ministerio de Educación,68,526,796,773,128
Ministerio de Economía,185,432,563,502,161
Ministerio de Medio Ambiente y Recursos Naturales,475,459,502,501,96
Instituto Salvadoreño del Seguro Social,0,0,0,409,328
Ministerio de Hacienda,159,312,374,390,66
Presidencia de la República,114,272,336,338,46
Ministerio de Agricultura y Ganadería,331,336,315,327,59
Fondo de Proteccion de Lisiados y Discapacitados a Consecuencia del Conflicto Armado,308,340,6,301,200
Banco Central de Reserva de El Salvador,75,66,97,299,31
Centro Nacional de Registros,251,239,359,261,47
Ministerio de Trabajo y Previsión Social,91,142,189,254,55
Dirección General de Centros Penales,0,0,0,233,139
Ministerio de Gobernación y Desarrollo Territorial,49,152,173,190,42
Superintendencia del Sistema Financiero,100,104,145,190,28
Registro Nacional de las Personas Naturales,68,137,135,177,22
Superintendencia General de Electricidad y Telecomunicaciones,156,177,132,168,27
Ministerio de Justicia y Seguridad Publica,76,72,69,155,17
Dirección Nacional de Medicamentos,0,23,190,150,14
Alcaldía de San Miguel,0,0,44,139,37
Comisión Nacional de la Micro y Pequeña Empresa,0,11,138,138,30
Dirección General de Aduanas,0,0,0,136,28
Ministerio de la Defensa Nacional,143,157,159,125,30
Comision Ejecutiva Portuaria Autonoma,0,0,94,118,29
Instituto Salvadoreño Para el Desarrollo Integral de la Niñez y la Adolescencia,0,0,104,116,24
Fondo Social para la Vivienda,0,0,0,110,46
Instituto Nacional de Pensiones de los Empleados Públicos,79,98,92,99,22
Instituto Nacional de los Deportes de El Salvador,73,57,85,90,2
Dirección General de Migración y Extranjería,0,0,0,90,30
Ministerio de Turismo,41,44,36,78,13
Comisión Ejecutiva Hidroeléctrica del Río Lempa,80,72,70,77,9
Fondo de Conservación Víal,36,35,90,76,15
Instituto Salvadoreño para el Desarrollo de la Mujer,174,30,41,71,16
Instituto Salvadoreño de Desarrollo Municipal,48,36,44,65,17
"Centro Nacional de Tecnología Agrícola y Forestal, Enrique Álvarez Córdova",76,36,54,60,8
Fondo de Inversión Nacional en Electrificación y Telefonía / Fondo de Inversión Social para el Desarrollo Local de El Salvador,0,18,23,57,7
Instituto Nacional de la Juventud,4,24,28,56,7
Fondo Solidario para la Salud,43,29,36,53,0
Instituto de Previsión Social de la Fuerza Armada,26,30,30,50,4
Instituto Salvadoreño de Fomento Cooperativo,69,34,66,47,11
Consejo Superior de Salud Pública,12,26,25,38,5
Consejo Salvadoreño de la Agroindustria Azucarera,11,16,25,38,5
Instituto Salvadoreño de Transformación Agraria,0,0,0,37,9
Lotería Nacional de Beneficencia,21,26,41,34,6
Caja Mutual de los Empleados del Ministerio de Educación,27,15,16,34,4
Banco de Desarrollo de El Salvador,15,37,40,33,8
Banco de Fomento Agropecuario,40,24,22,31,8
Autoridad Marítima Portuaria,3,21,24,28,2
Instituto Salvadoreño de Bienestar Magisterial,0,0,18,26,8
Academia Nacional de Seguridad Pública,0,0,0,26,16
Organismo Promotor de Exportaciones e Inversiones de El Salvador,0,2,14,24,3
Inspectoría General de Seguridad Pública,0,0,14,23,5
Corporación Salvadoreña de Inversiones,0,0,0,23,5
Consejo Nacional de Atención Integral a la Persona con Discapacidad,18,14,39,20,9
Fondo Ambiental de El Salvador,4,10,11,19,3
Centro Internacional de Ferias y Convenciones,7,9,10,19,3
Superintendencia de Competencia,42,34,23,17,1
Fondo de Saneamiento y Fortalecimiento Financiero,0,15,25,16,2
Instituto de Legalización de la Propiedad,30,13,18,16,0
Consejo Nacional de Energía,0,0,0,16,4
Fondo Salvadoreño para Estudios de Preinversión,0,0,0,14,0
Consejo de Vigilancia de la Profesión de Contaduría Pública y Auditoría,6,10,9,11,3
Consejo Nacional de Calidad,16,12,9,10,6
Fondo Especial de los Recursos provenientes de la Privatización de ANTEL,7,2,8,10,1
Fondo para la Atención a las Víctimas de Accidentes de Tránsito,5,5,10,7,0
Centro Farmacéutico de la Fuerza Armada,4,3,5,7,2
Instituto de Garantía de Depósitos,9,2,5,5,0
Autoridad de Aviación Civil de El Salvador,18,0,2,4,0
Administración Nacional de Acueductos y Alcantarillados,0,0,0,3,0
Corporación Salvadoreña de Turismo,0,0,0,2,0
Defensoría del Consumidor,0,0,0,1,0
Fondo Solidario para la Familia Microempresaria,0,0,0,1,0
Instituto Especializado de Educación Superior para la Formación Diplomática,0,0,0,1,0
-- No se a qué institución enviar mi solicitud --,3,2,1,0,0
Fondo de Conservación Vial,2,0,0,0,0
