Departamento,Municipio,2014,2015,2016,2017,2018
Ahuachapán,Ahuachapán,9,31,42,65,7
Ahuachapán,Apaneca,0,0,2,3,2
Ahuachapán,Atiquizaya,5,7,8,16,7
Ahuachapán,Concepción de Ataco,0,5,4,4,1
Ahuachapán,El Refugio,1,2,0,3,0
Ahuachapán,Guaymango,0,2,0,0,0
Ahuachapán,Jujutla,0,1,2,5,0
Ahuachapán,San Francisco Menéndez,5,3,7,6,1
Ahuachapán,San Lorenzo,1,5,4,3,3
Ahuachapán,San Pedro Puxtla,2,0,0,4,1
Ahuachapán,Tacuba,1,4,5,4,4
Ahuachapán,Turín,1,3,2,4,1
Cabañas,Cinquera,0,1,0,1,1
Cabañas,Guacotecti,1,2,2,2,0
Cabañas,Ilobasco,11,22,17,17,6
Cabañas,Jutiapa,0,0,2,1,0
Cabañas,San Isidro,3,0,2,6,0
Cabañas,Sensuntepeque,9,7,11,17,3
Cabañas,Tejutepeque,0,6,8,2,1
Cabañas,Victoria,1,3,1,5,5
Cabañas,Villa Dolores,0,0,0,2,0
Chalatenango,Agua Caliente,1,0,4,2,0
Chalatenango,Arcatao,0,1,1,4,1
Chalatenango,Chalatenango,16,15,26,37,13
Chalatenango,Citalá,0,1,0,0,0
Chalatenango,Comalapa,0,1,4,2,0
Chalatenango,Concepción Quezaltepeque,2,1,2,2,0
Chalatenango,Dulce Nombre de María,0,2,1,0,2
Chalatenango,El Carrizal,0,0,0,3,0
Chalatenango,El Paraíso,4,1,3,2,0
Chalatenango,La Laguna,0,2,0,0,1
Chalatenango,La Palma,4,6,0,2,3
Chalatenango,La Reina,2,0,5,1,0
Chalatenango,Las Vueltas,0,0,0,1,1
Chalatenango,Nombre de Jesús,0,2,2,2,1
Chalatenango,Nueva Concepción,5,5,6,12,5
Chalatenango,Nueva Trinidad,1,0,0,0,1
Chalatenango,Ojos de Agua,2,1,1,0,3
Chalatenango,Potonico,0,0,0,1,1
Chalatenango,San Antonio Los Ranchos,2,0,0,0,1
Chalatenango,San Antonio de la Cruz,0,1,0,0,0
Chalatenango,San Fernando,3,1,3,5,2
Chalatenango,San Francisco Lempa,0,0,4,0,0
Chalatenango,San Francisco Morazán,1,0,1,6,1
Chalatenango,San Ignacio,1,5,4,2,0
Chalatenango,San Isidro Labrador,0,1,0,3,1
Chalatenango,San José Cancasque,0,0,0,0,2
Chalatenango,San José Las Flores,0,0,1,0,3
Chalatenango,San Miguel de Mercedes,0,1,2,0,0
Chalatenango,San Rafael,1,0,0,1,1
Chalatenango,Santa Rita,1,1,0,4,0
Chalatenango,Tejutla,4,1,6,5,3
Cuscatlán,Candelaria,1,1,1,2,1
Cuscatlán,Cojutepeque,23,46,51,66,6
Cuscatlán,El Carmen,2,1,1,5,3
Cuscatlán,El Rosario,2,0,1,2,0
Cuscatlán,Monte San Juan,1,3,0,6,2
Cuscatlán,Oratorio de Concepción,3,2,1,1,1
Cuscatlán,San Bartolomé Perulapía,0,9,5,6,1
Cuscatlán,San Cristóbal,1,1,2,0,3
Cuscatlán,San José Guayabal,7,1,3,6,3
Cuscatlán,San Pedro Perulapán,16,19,11,22,5
Cuscatlán,San Rafael Cedros,3,10,5,9,2
Cuscatlán,San Ramón,2,2,0,4,0
Cuscatlán,Santa Cruz Analquito,2,1,1,1,0
Cuscatlán,Santa Cruz Michapa,4,3,6,7,2
Cuscatlán,Suchitoto,11,12,4,28,23
Cuscatlán,Tenancingo,3,4,2,0,0
La Libertad,Antiguo Cuscatlán,162,263,460,576,110
La Libertad,Chiltiupán,1,2,1,2,0
La Libertad,Ciudad Arce,23,26,29,28,7
La Libertad,Colón,59,52,91,123,41
La Libertad,Comasagua,15,2,3,5,1
La Libertad,Huizúcar,2,2,3,4,2
La Libertad,Jayaque,5,5,7,7,2
La Libertad,Jicalapa,0,2,0,3,0
La Libertad,La Libertad,24,41,55,59,12
La Libertad,Nuevo Cuscatlán,11,24,30,43,3
La Libertad,Quezaltepeque,39,70,63,91,31
La Libertad,Sacacoyo,2,5,3,3,0
La Libertad,San José Villanueva,18,14,17,15,3
La Libertad,San Juan Opico,21,25,22,45,14
La Libertad,San Matías,1,2,1,2,1
La Libertad,San Pablo Tacachico,4,7,2,4,2
La Libertad,Santa Tecla,358,406,554,612,177
La Libertad,Talnique,5,1,7,4,0
La Libertad,Tamanique,2,4,2,4,3
La Libertad,Teotepeque,0,0,2,0,0
La Libertad,Tepecoyo,0,6,4,11,5
La Libertad,Zaragoza,22,41,21,25,9
La Paz,Cuyultitán,7,4,5,3,1
La Paz,El Rosario,5,5,8,15,5
La Paz,Jerusalén,0,0,0,2,3
La Paz,Mercedes La Ceiba,0,0,2,4,1
La Paz,Olocuilta,17,34,23,26,11
La Paz,Paraíso de Osorio,1,2,0,0,0
La Paz,San Antonio Masahuat,0,0,1,2,0
La Paz,San Emigdio,2,15,2,4,0
La Paz,San Francisco Chinameca,5,8,4,6,2
La Paz,San Juan Nonualco,5,13,9,19,4
La Paz,San Juan Talpa,2,5,2,3,0
La Paz,San Juan Tepezontes,1,5,2,3,2
La Paz,San Luis La Herradura,5,10,13,19,6
La Paz,San Luis Talpa,25,36,12,31,10
La Paz,San Miguel Tepezontes,3,2,3,7,1
La Paz,San Pedro Masahuat,4,4,10,23,5
La Paz,San Pedro Nonualco,3,5,1,4,2
La Paz,San Rafael Obrajuelo,2,3,2,8,1
La Paz,Santa María Ostuma,2,0,0,1,1
La Paz,Santiago Nonualco,18,16,10,27,13
La Paz,Tapalhuaca,2,3,4,4,0
La Paz,Zacatecoluca,37,29,46,100,22
La Unión,Anamorós,1,2,0,0,0
La Unión,Bolívar,0,0,1,0,1
La Unión,Concepción de Oriente,0,1,1,5,1
La Unión,Conchagua,1,2,3,10,3
La Unión,El Carmen,7,3,1,2,2
La Unión,El Sauce,0,1,7,0,0
La Unión,Intipucá,0,0,0,1,0
La Unión,La Unión,5,7,25,19,3
La Unión,Lislique,0,0,1,2,1
La Unión,Nueva Esparta,0,0,0,1,0
La Unión,Pasaquina,1,2,3,3,0
La Unión,Polorós,0,1,0,0,0
La Unión,San Alejo,3,2,4,4,1
La Unión,Santa Rosa de Lima,4,4,5,9,5
La Unión,Yayantique,0,0,1,0,0
La Unión,Yucuayquín,1,0,1,2,2
Morazán,Cacaopera,0,3,1,1,6
Morazán,Chilanga,0,1,0,0,3
Morazán,Corinto,1,2,1,2,0
Morazán,Delicias de Concepción,0,0,2,0,0
Morazán,El Divisadero,0,2,0,1,3
Morazán,El Rosario,1,1,0,2,0
Morazán,Gualococti,0,1,0,1,0
Morazán,Joateca,0,0,0,2,0
Morazán,Jocoaitique,0,1,2,1,1
Morazán,Jocoro,2,2,3,5,1
Morazán,Lolotiquillo,1,0,1,1,0
Morazán,Meanguera,0,0,2,5,2
Morazán,Osicala,0,1,0,1,0
Morazán,Perquín,2,0,2,0,1
Morazán,San Carlos,1,0,0,0,0
Morazán,San Francisco Gotera,7,12,16,7,3
Morazán,San Isidro,0,0,0,1,0
Morazán,San Simón,1,1,0,0,0
Morazán,Sensembra,0,1,0,0,0
Morazán,Sociedad,0,1,0,4,0
Morazán,Torola,0,1,0,1,0
Morazán,Yamabal,0,1,1,5,0
San Miguel,Carolina,1,0,0,0,1
San Miguel,Chapeltique,4,0,3,5,0
San Miguel,Chinameca,8,3,4,4,7
San Miguel,Chirilagua,1,0,0,3,1
San Miguel,Ciudad Barrios,6,4,4,7,1
San Miguel,Comacarán,1,0,0,0,0
San Miguel,El Tránsito,0,1,2,7,4
San Miguel,Lolotique,8,4,5,5,1
San Miguel,Moncagua,7,6,2,9,0
San Miguel,Nueva Guadalupe,2,1,4,3,3
San Miguel,Quelepa,5,0,2,0,0
San Miguel,San Antonio,0,2,0,2,2
San Miguel,San Gerardo,1,0,1,1,1
San Miguel,San Jorge,0,1,0,4,3
San Miguel,San Luis de la Reina,5,1,0,0,0
San Miguel,San Miguel,46,84,115,251,64
San Miguel,San Rafael,1,0,0,3,0
San Miguel,Sesori,8,0,1,2,0
San Miguel,Uluazapa,0,1,0,2,0
San Salvador,Aguilares,7,9,13,16,14
San Salvador,Apopa,82,114,120,143,54
San Salvador,Ayutuxtepeque,27,55,81,110,30
San Salvador,Cuscatancingo,56,92,137,118,28
San Salvador,Delgado,67,87,115,131,50
San Salvador,El Paisnal,4,5,4,6,3
San Salvador,Guazapa,4,6,10,26,4
San Salvador,Ilopango,67,101,112,171,43
San Salvador,Mejicanos,203,257,379,565,123
San Salvador,Nejapa,9,32,35,31,7
San Salvador,Panchimalco,24,21,26,46,13
San Salvador,Rosario de Mora,1,1,10,7,5
San Salvador,San Marcos,78,71,98,122,25
San Salvador,San Martín,24,41,47,85,26
San Salvador,San Salvador,1561,2507,3071,3763,770
San Salvador,Santiago Texacuangos,13,24,23,22,2
San Salvador,Santo Tomás,10,41,37,50,18
San Salvador,Soyapango,183,343,368,601,130
San Salvador,Tonacatepeque,29,28,38,78,16
San Vicente,Apastepeque,4,4,7,9,2
San Vicente,Guadalupe,1,4,1,2,0
San Vicente,San Cayetano Istepeque,1,2,3,1,0
San Vicente,San Esteban Catarina,4,3,2,3,3
San Vicente,San Ildefonso,1,1,2,0,0
San Vicente,San Lorenzo,0,3,1,2,0
San Vicente,San Sebastián,9,7,7,10,2
San Vicente,San Vicente,22,38,49,37,16
San Vicente,Santa Clara,2,0,0,3,1
San Vicente,Santo Domingo,5,5,2,4,1
San Vicente,Tecoluca,7,16,5,23,11
San Vicente,Tepetitán,1,3,1,2,0
San Vicente,Verapaz,5,0,3,0,0
Santa Ana,Candelaria de la Frontera,3,4,9,4,2
Santa Ana,Chalchuapa,9,22,19,41,12
Santa Ana,Coatepeque,8,14,5,3,6
Santa Ana,El Congo,3,4,7,6,2
